,id,original_description,code,nearest_level1_code,original_code_system,article,code_description,level1_code_description
602,603,Gastroenteritis and other diseases of intestines ,K58,K58,ICD10,Sundmacher et al (2015),Irritable bowel syndrome,Irritable bowel syndrome
603,604,Gastroenteritis and other diseases of intestines ,K59.0,K59,ICD10,Sundmacher et al (2015),Constipation,Other functional intestinal disorders
604,605,Intestinal infectious diseases ,A01,A01,ICD10,Sundmacher et al (2015),Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers
605,606,Intestinal infectious diseases ,A02,A02,ICD10,Sundmacher et al (2015),Other salmonella infections,Other salmonella infections
606,607,Intestinal infectious diseases ,A04,A04,ICD10,Sundmacher et al (2015),Other bacterial intestinal infections,Other bacterial intestinal infections
607,608,Intestinal infectious diseases ,A05,A05,ICD10,Sundmacher et al (2015),"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified"
608,609,Intestinal infectious diseases ,A07,A07,ICD10,Sundmacher et al (2015),Other protozoal intestinal diseases,Other protozoal intestinal diseases
609,610,Intestinal infectious diseases ,A08,A08,ICD10,Sundmacher et al (2015),Viral and other specified intestinal infections,Viral and other specified intestinal infections
610,611,Intestinal infectious diseases ,A09,A09,ICD10,Sundmacher et al (2015),"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
611,612,Influenza and pneumonia ,J10,J10,ICD10,Sundmacher et al (2015),Influenza due to other identified influenza virus,Influenza due to other identified influenza virus
612,613,Influenza and pneumonia ,J11,J11,ICD10,Sundmacher et al (2015),Influenza due to unidentified influenza virus,Influenza due to unidentified influenza virus
613,614,Influenza and pneumonia ,J13,J13,ICD10,Sundmacher et al (2015),Pneumonia due to Streptococcus pneumoniae,Pneumonia due to Streptococcus pneumoniae
614,615,Influenza and pneumonia ,J14,J14,ICD10,Sundmacher et al (2015),Pneumonia due to Hemophilus influenzae,Pneumonia due to Hemophilus influenzae
615,616,Influenza and pneumonia ,J15.3,J15,ICD10,Sundmacher et al (2015),"Pneumonia due to streptococcus, group B","Bacterial pneumonia, not elsewhere classified"
616,617,Influenza and pneumonia ,J15.4,J15,ICD10,Sundmacher et al (2015),Pneumonia due to other streptococci,"Bacterial pneumonia, not elsewhere classified"
617,618,Influenza and pneumonia ,J15.7,J15,ICD10,Sundmacher et al (2015),Pneumonia due to Mycoplasma pneumoniae,"Bacterial pneumonia, not elsewhere classified"
618,619,Influenza and pneumonia ,J15.8,J15,ICD10,Sundmacher et al (2015),Pneumonia due to other specified bacteria,"Bacterial pneumonia, not elsewhere classified"
619,620,Influenza and pneumonia ,J15.9,J15,ICD10,Sundmacher et al (2015),Unspecified bacterial pneumonia,"Bacterial pneumonia, not elsewhere classified"
620,621,Influenza and pneumonia ,J16.8,J16,ICD10,Sundmacher et al (2015),Pneumonia due to other specified infectious organisms,"Pneumonia due to other infectious organisms, not elsewhere classified"
621,622,Influenza and pneumonia ,J18.0,J18,ICD10,Sundmacher et al (2015),"Bronchopneumonia, unspecified organism","Pneumonia, unspecified organism"
622,623,Influenza and pneumonia ,J18.1,J18,ICD10,Sundmacher et al (2015),"Lobar pneumonia, unspecified organism","Pneumonia, unspecified organism"
623,624,Influenza and pneumonia ,J18.8,J18,ICD10,Sundmacher et al (2015),"Other pneumonia, unspecified organism","Pneumonia, unspecified organism"
624,625,Influenza and pneumonia ,J18.9,J18,ICD10,Sundmacher et al (2015),"Pneumonia, unspecified organism","Pneumonia, unspecified organism"
625,626,Influenza and pneumonia ,J18.9,J18,ICD10,Sundmacher et al (2015),"Pneumonia, unspecified organism","Pneumonia, unspecified organism"
626,627,Ear nose throat infections ,H66,H66,ICD10,Sundmacher et al (2015),Suppurative and unspecified otitis media,Suppurative and unspecified otitis media
627,628,Ear nose throat infections ,J01,J01,ICD10,Sundmacher et al (2015),Acute sinusitis,Acute sinusitis
628,629,Ear nose throat infections ,J02,J02,ICD10,Sundmacher et al (2015),Acute pharyngitis,Acute pharyngitis
629,630,Ear nose throat infections ,J03,J03,ICD10,Sundmacher et al (2015),Acute tonsillitis,Acute tonsillitis
630,631,Ear nose throat infections ,J06,J06,ICD10,Sundmacher et al (2015),Acute upper respiratory infections of multiple and unspecified sites,Acute upper respiratory infections of multiple and unspecified sites
631,632,Ear nose throat infections ,J31,J31,ICD10,Sundmacher et al (2015),"Chronic rhinitis, nasopharyngitis and pharyngitis","Chronic rhinitis, nasopharyngitis and pharyngitis"
632,633,Ear nose throat infections ,J32,J32,ICD10,Sundmacher et al (2015),Chronic sinusitis,Chronic sinusitis
633,634,Ear nose throat infections ,J35,J35,ICD10,Sundmacher et al (2015),Chronic diseases of tonsils and adenoids,Chronic diseases of tonsils and adenoids
634,635,Depressive disorders,F32,F32,ICD10,Sundmacher et al (2015),Depressive episode,Depressive episode
635,636,Depressive disorders,F33,F33,ICD10,Sundmacher et al (2015),"Major depressive disorder, recurrent","Major depressive disorder, recurrent"
636,637,Diabetes mellitus ,E10.2,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with kidney complications,Type 1 diabetes mellitus
637,638,Diabetes mellitus ,E10.3,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with ophthalmic complications,Type 1 diabetes mellitus
638,639,Diabetes mellitus ,E10.4,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with neurological complications,Type 1 diabetes mellitus
639,640,Diabetes mellitus ,E10.5,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with circulatory complications,Type 1 diabetes mellitus
640,641,Diabetes mellitus ,E10.6,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with other specified complications,Type 1 diabetes mellitus
641,642,Diabetes mellitus ,E10.8,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus with unspecified complications,Type 1 diabetes mellitus
642,643,Diabetes mellitus ,E10.9,E10,ICD10,Sundmacher et al (2015),Type 1 diabetes mellitus without complications,Type 1 diabetes mellitus
643,644,Diabetes mellitus ,E11,E11,ICD10,Sundmacher et al (2015),Type 2 diabetes mellitus,Type 2 diabetes mellitus
644,645,Diabetes mellitus ,E13.6,E13,ICD10,Sundmacher et al (2015),Other specified diabetes mellitus with other specified complications,Other specified diabetes mellitus
645,646,Diabetes mellitus ,E13.7,E13,ICD10,Sundmacher et al (2015),ERROR,Other specified diabetes mellitus
646,647,Diabetes mellitus ,E13.9,E13,ICD10,Sundmacher et al (2015),Other specified diabetes mellitus without complications,Other specified diabetes mellitus
647,648,Diabetes mellitus ,E14,E14,ICD10,Sundmacher et al (2015),ERROR,ERROR
648,649,Diabetes mellitus ,E16.2,E16,ICD10,Sundmacher et al (2015),"Hypoglycemia, unspecified",Other disorders of pancreatic internal secretion
649,650,Gonarthrosis [arthrosis of knee] ,M17.0,M17,ICD10,Sundmacher et al (2015),Bilateral primary osteoarthritis of knee,Osteoarthritis of knee
650,651,Gonarthrosis [arthrosis of knee] ,M17.1,M17,ICD10,Sundmacher et al (2015),Unilateral primary osteoarthritis of knee,Osteoarthritis of knee
651,652,Gonarthrosis [arthrosis of knee] ,M17.4,M17,ICD10,Sundmacher et al (2015),Other bilateral secondary osteoarthritis of knee,Osteoarthritis of knee
652,653,Gonarthrosis [arthrosis of knee] ,M17.5,M17,ICD10,Sundmacher et al (2015),Other unilateral secondary osteoarthritis of knee,Osteoarthritis of knee
653,654,Gonarthrosis [arthrosis of knee] ,M17.9,M17,ICD10,Sundmacher et al (2015),"Osteoarthritis of knee, unspecified",Osteoarthritis of knee
654,655,Soft tissue disorders ,G56.0,G56,ICD10,Sundmacher et al (2015),Carpal tunnel syndrome,Mononeuropathies of upper limb
655,656,Soft tissue disorders ,M67.4,M67,ICD10,Sundmacher et al (2015),Ganglion,Other disorders of synovium and tendon
656,657,Soft tissue disorders ,M71.3,M71,ICD10,Sundmacher et al (2015),Other bursal cyst,Other bursopathies
657,658,Soft tissue disorders ,M75,M75,ICD10,Sundmacher et al (2015),Shoulder lesions,Shoulder lesions
658,659,Soft tissue disorders ,M76,M76,ICD10,Sundmacher et al (2015),"Enthesopathies, lower limb, excluding foot","Enthesopathies, lower limb, excluding foot"
659,660,Soft tissue disorders ,M77,M77,ICD10,Sundmacher et al (2015),Other enthesopathies,Other enthesopathies
660,661,Soft tissue disorders ,M79b,M79,ICD10,Sundmacher et al (2015),ERROR,"Other and unspecified soft tissue disorders, not elsewhere classified"
661,662,Other avoidable mental and behavioural disorders ,F40,F40,ICD10,Sundmacher et al (2015),Phobic anxiety disorders,Phobic anxiety disorders
662,663,Other avoidable mental and behavioural disorders ,F41,F41,ICD10,Sundmacher et al (2015),Other anxiety disorders,Other anxiety disorders
663,664,Other avoidable mental and behavioural disorders ,F43,F43,ICD10,Sundmacher et al (2015),"Reaction to severe stress, and adjustment disorders","Reaction to severe stress, and adjustment disorders"
664,665,Other avoidable mental and behavioural disorders ,F45,F45,ICD10,Sundmacher et al (2015),Somatoform disorders,Somatoform disorders
665,666,Other avoidable mental and behavioural disorders ,F50.0,F50,ICD10,Sundmacher et al (2015),Anorexia nervosa,Eating disorders
666,667,Other avoidable mental and behavioural disorders ,F50.2,F50,ICD10,Sundmacher et al (2015),Bulimia nervosa,Eating disorders
667,668,Other avoidable mental and behavioural disorders ,F60,F60,ICD10,Sundmacher et al (2015),Specific personality disorders,Specific personality disorders
668,669,Diseases of the eye ,H25,H25,ICD10,Sundmacher et al (2015),Age-related cataract,Age-related cataract
669,670,Diseases of the eye ,H40,H40,ICD10,Sundmacher et al (2015),Glaucoma,Glaucoma
670,671,Diseases of urinary system ,N30,N30,ICD10,Sundmacher et al (2015),Cystitis,Cystitis
671,672,Diseases of urinary system ,N34,N34,ICD10,Sundmacher et al (2015),Urethritis and urethral syndrome,Urethritis and urethral syndrome
672,673,Diseases of urinary system ,N39.0,N39,ICD10,Sundmacher et al (2015),"Urinary tract infection, site not specified",Other disorders of urinary system
673,674,Sleep disorders,G47,G47,ICD10,Sundmacher et al (2015),Sleep disorders,Sleep disorders
674,675,Diseases of the skin and subcutaneous tissue ,A46,A46,ICD10,Sundmacher et al (2015),Erysipelas,Erysipelas
675,676,Diseases of the skin and subcutaneous tissue ,L01,L01,ICD10,Sundmacher et al (2015),Impetigo,Impetigo
676,677,Diseases of the skin and subcutaneous tissue ,L02,L02,ICD10,Sundmacher et al (2015),"Cutaneous abscess, furuncle and carbuncle","Cutaneous abscess, furuncle and carbuncle"
677,678,Diseases of the skin and subcutaneous tissue ,L04,L04,ICD10,Sundmacher et al (2015),Acute lymphadenitis,Acute lymphadenitis
678,679,Diseases of the skin and subcutaneous tissue ,L08.0,L08,ICD10,Sundmacher et al (2015),Pyoderma,Other local infections of skin and subcutaneous tissue
679,680,Diseases of the skin and subcutaneous tissue ,L08.8,L08,ICD10,Sundmacher et al (2015),Other specified local infections of the skin and subcutaneous tissue,Other local infections of skin and subcutaneous tissue
680,681,Diseases of the skin and subcutaneous tissue ,L08.9,L08,ICD10,Sundmacher et al (2015),"Local infection of the skin and subcutaneous tissue, unspecified",Other local infections of skin and subcutaneous tissue
681,682,Diseases of the skin and subcutaneous tissue ,L60.0,L60,ICD10,Sundmacher et al (2015),Ingrowing nail,Nail disorders
682,683,Diseases of the skin and subcutaneous tissue ,L72.1,L72,ICD10,Sundmacher et al (2015),Pilar and trichodermal cyst,Follicular cysts of skin and subcutaneous tissue
683,684,Diseases of the skin and subcutaneous tissue ,L98.0,L98,ICD10,Sundmacher et al (2015),Pyogenic granuloma,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
684,685,Thyroid disorder ,E03,E03,ICD10,Sundmacher et al (2015),Other hypothyroidism,Other hypothyroidism
685,686,Thyroid disorder ,E04,E04,ICD10,Sundmacher et al (2015),Other nontoxic goiter,Other nontoxic goiter
686,687,Thyroid disorder ,E05,E05,ICD10,Sundmacher et al (2015),Thyrotoxicosis [hyperthyroidism],Thyrotoxicosis [hyperthyroidism]
687,688,Metabolic disorders,E86,E86,ICD10,Sundmacher et al (2015),Volume depletion,Volume depletion
688,689,Metabolic disorders,E87.6,E87,ICD10,Sundmacher et al (2015),Hypokalemia,"Other disorders of fluid, electrolyte and acid-base balance"
689,690,Metabolic disorders,E89.0,E89,ICD10,Sundmacher et al (2015),Postprocedural hypothyroidism,"Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified"
690,691,Melanoma and other malignant neoplasms of skin ,C43,C43,ICD10,Sundmacher et al (2015),Malignant melanoma of skin,Malignant melanoma of skin
691,692,Melanoma and other malignant neoplasms of skin ,C44,C44,ICD10,Sundmacher et al (2015),Other and unspecified malignant neoplasm of skin,Other and unspecified malignant neoplasm of skin
692,693,Gastritis and duodenitis ,K21,K21,ICD10,Sundmacher et al (2015),Gastro-esophageal reflux disease,Gastro-esophageal reflux disease
693,694,Gastritis and duodenitis ,K29.7,K29,ICD10,Sundmacher et al (2015),"Gastritis, unspecified",Gastritis and duodenitis
694,695,Gastritis and duodenitis ,K29.9,K29,ICD10,Sundmacher et al (2015),"Gastroduodenitis, unspecified",Gastritis and duodenitis
695,696,Gastritis and duodenitis ,K30,K30,ICD10,Sundmacher et al (2015),Functional dyspepsia,Functional dyspepsia
696,697,Gastritis and duodenitis ,K31,K31,ICD10,Sundmacher et al (2015),Other diseases of stomach and duodenum,Other diseases of stomach and duodenum
697,698,Migraine and headache syndromes ,G43,G43,ICD10,Sundmacher et al (2015),Migraine,Migraine
698,699,Migraine and headache syndromes ,G44.0,G44,ICD10,Sundmacher et al (2015),Cluster headaches and other trigeminal autonomic cephalgias (TAC),Other headache syndromes
699,700,Migraine and headache syndromes ,G44.1,G44,ICD10,Sundmacher et al (2015),"Vascular headache, not elsewhere classified",Other headache syndromes
700,701,Migraine and headache syndromes ,G44.3,G44,ICD10,Sundmacher et al (2015),Post-traumatic headache,Other headache syndromes
701,702,Migraine and headache syndromes ,G44.4,G44,ICD10,Sundmacher et al (2015),"Drug-induced headache, not elsewhere classified",Other headache syndromes
702,703,Migraine and headache syndromes ,G44.8,G44,ICD10,Sundmacher et al (2015),Other specified headache syndromes,Other headache syndromes
703,704,Migraine and headache syndromes ,R51,R51,ICD10,Sundmacher et al (2015),Headache,Headache
704,705,Malnutrition & nutritional deficiencies,D50,D50,ICD10,Sundmacher et al (2015),Iron deficiency anemia,Iron deficiency anemia
705,706,Malnutrition & nutritional deficiencies,D51,D51,ICD10,Sundmacher et al (2015),Vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia
706,707,Malnutrition & nutritional deficiencies,D52,D52,ICD10,Sundmacher et al (2015),Folate deficiency anemia,Folate deficiency anemia
707,708,Malnutrition & nutritional deficiencies,D53.1,D53,ICD10,Sundmacher et al (2015),"Other megaloblastic anemias, not elsewhere classified",Other nutritional anemias
708,709,Malnutrition & nutritional deficiencies,D56b,D56,ICD10,Sundmacher et al (2015),ERROR,Thalassemia
709,710,Malnutrition & nutritional deficiencies,E40,E40,ICD10,Sundmacher et al (2015),Kwashiorkor,Kwashiorkor
710,711,Malnutrition & nutritional deficiencies,E41,E41,ICD10,Sundmacher et al (2015),Nutritional marasmus,Nutritional marasmus
711,712,Malnutrition & nutritional deficiencies,E42,E42,ICD10,Sundmacher et al (2015),Marasmic kwashiorkor,Marasmic kwashiorkor
712,713,Malnutrition & nutritional deficiencies,E43,E43,ICD10,Sundmacher et al (2015),Unspecified severe protein-calorie malnutrition,Unspecified severe protein-calorie malnutrition
713,714,Malnutrition & nutritional deficiencies,E44,E44,ICD10,Sundmacher et al (2015),Protein-calorie malnutrition of moderate and mild degree,Protein-calorie malnutrition of moderate and mild degree
714,715,Malnutrition & nutritional deficiencies,E45,E45,ICD10,Sundmacher et al (2015),Retarded development following protein-calorie malnutrition,Retarded development following protein-calorie malnutrition
715,716,Malnutrition & nutritional deficiencies,E46,E46,ICD10,Sundmacher et al (2015),Unspecified protein-calorie malnutrition,Unspecified protein-calorie malnutrition
716,717,Malnutrition & nutritional deficiencies,E47,E47,ICD10,Sundmacher et al (2015),ERROR,ERROR
717,718,Malnutrition & nutritional deficiencies,E48,E48,ICD10,Sundmacher et al (2015),ERROR,ERROR
718,719,Malnutrition & nutritional deficiencies,E49,E49,ICD10,Sundmacher et al (2015),ERROR,ERROR
719,720,Malnutrition & nutritional deficiencies,E50,E50,ICD10,Sundmacher et al (2015),Vitamin A deficiency,Vitamin A deficiency
720,721,Malnutrition & nutritional deficiencies,E51,E51,ICD10,Sundmacher et al (2015),Thiamine deficiency,Thiamine deficiency
721,722,Malnutrition & nutritional deficiencies,E52,E52,ICD10,Sundmacher et al (2015),Niacin deficiency [pellagra],Niacin deficiency [pellagra]
722,723,Malnutrition & nutritional deficiencies,E53,E53,ICD10,Sundmacher et al (2015),Deficiency of other B group vitamins,Deficiency of other B group vitamins
723,724,Malnutrition & nutritional deficiencies,E54,E54,ICD10,Sundmacher et al (2015),Ascorbic acid deficiency,Ascorbic acid deficiency
724,725,Malnutrition & nutritional deficiencies,E55,E55,ICD10,Sundmacher et al (2015),Vitamin D deficiency,Vitamin D deficiency
725,726,Malnutrition & nutritional deficiencies,E56,E56,ICD10,Sundmacher et al (2015),Other vitamin deficiencies,Other vitamin deficiencies
726,727,Malnutrition & nutritional deficiencies,E57,E57,ICD10,Sundmacher et al (2015),ERROR,ERROR
727,728,Malnutrition & nutritional deficiencies,E58,E58,ICD10,Sundmacher et al (2015),Dietary calcium deficiency,Dietary calcium deficiency
728,729,Malnutrition & nutritional deficiencies,E59,E59,ICD10,Sundmacher et al (2015),Dietary selenium deficiency,Dietary selenium deficiency
729,730,Malnutrition & nutritional deficiencies,E60,E60,ICD10,Sundmacher et al (2015),Dietary zinc deficiency,Dietary zinc deficiency
730,731,Malnutrition & nutritional deficiencies,E61,E61,ICD10,Sundmacher et al (2015),Deficiency of other nutrient elements,Deficiency of other nutrient elements
731,732,Malnutrition & nutritional deficiencies,E62,E62,ICD10,Sundmacher et al (2015),ERROR,ERROR
732,733,Malnutrition & nutritional deficiencies,E63,E63,ICD10,Sundmacher et al (2015),Other nutritional deficiencies,Other nutritional deficiencies
733,734,Malnutrition & nutritional deficiencies,E64,E64,ICD10,Sundmacher et al (2015),Sequelae of malnutrition and other nutritional deficiencies,Sequelae of malnutrition and other nutritional deficiencies
734,735,Malnutrition & nutritional deficiencies,R63.6,R63,ICD10,Sundmacher et al (2015),Underweight,Symptoms and signs concerning food and fluid intake
735,736,Alcoholic liver disease ,K70,K70,ICD10,Sundmacher et al (2015),Alcoholic liver disease,Alcoholic liver disease
736,737,Dental diseases ,K02,K02,ICD10,Sundmacher et al (2015),Dental caries,Dental caries
737,738,Dental diseases ,K04,K04,ICD10,Sundmacher et al (2015),Diseases of pulp and periapical tissues,Diseases of pulp and periapical tissues
738,739,Dental diseases ,K05,K05,ICD10,Sundmacher et al (2015),Gingivitis and periodontal diseases,Gingivitis and periodontal diseases
739,740,Dental diseases ,K06,K06,ICD10,Sundmacher et al (2015),Other disorders of gingiva and edentulous alveolar ridge,Other disorders of gingiva and edentulous alveolar ridge
740,741,Dental diseases ,K08,K08,ICD10,Sundmacher et al (2015),Other disorders of teeth and supporting structures,Other disorders of teeth and supporting structures
741,742,Dental diseases ,K12,K12,ICD10,Sundmacher et al (2015),Stomatitis and related lesions,Stomatitis and related lesions
742,743,Dental diseases ,K13,K13,ICD10,Sundmacher et al (2015),Other diseases of lip and oral mucosa,Other diseases of lip and oral mucosa
743,744,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N70,N70,ICD10,Sundmacher et al (2015),Salpingitis and oophoritis,Salpingitis and oophoritis
744,745,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N71,N71,ICD10,Sundmacher et al (2015),"Inflammatory disease of uterus, except cervix","Inflammatory disease of uterus, except cervix"
745,746,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N72,N72,ICD10,Sundmacher et al (2015),Inflammatory disease of cervix uteri,Inflammatory disease of cervix uteri
746,747,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N75,N75,ICD10,Sundmacher et al (2015),Diseases of Bartholin's gland,Diseases of Bartholin's gland
747,748,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N76,N76,ICD10,Sundmacher et al (2015),Other inflammation of vagina and vulva,Other inflammation of vagina and vulva
748,749,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N84.1,N84,ICD10,Sundmacher et al (2015),Polyp of cervix uteri,Polyp of female genital tract
749,750,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N86,N86,ICD10,Sundmacher et al (2015),Erosion and ectropion of cervix uteri,Erosion and ectropion of cervix uteri
750,751,Inflammatory diseases of female pelvic organs and disorders of female genital tract,N87,N87,ICD10,Sundmacher et al (2015),Dysplasia of cervix uteri,Dysplasia of cervix uteri
751,752,Dementia ,F01,F01,ICD10,Sundmacher et al (2015),Vascular dementia,Vascular dementia
752,753,Dementia ,F03,F03,ICD10,Sundmacher et al (2015),Unspecified dementia,Unspecified dementia
753,754,Maternal disorders related to pregnancy ,O23,O23,ICD10,Sundmacher et al (2015),Infections of genitourinary tract in pregnancy,Infections of genitourinary tract in pregnancy
754,755,Maternal disorders related to pregnancy ,O24,O24,ICD10,Sundmacher et al (2015),"Diabetes mellitus in pregnancy, childbirth, and the puerperium","Diabetes mellitus in pregnancy, childbirth, and the puerperium"
755,756,Diseases of male genital organs ,N41,N41,ICD10,Sundmacher et al (2015),Inflammatory diseases of prostate,Inflammatory diseases of prostate
756,757,Diseases of male genital organs ,N45,N45,ICD10,Sundmacher et al (2015),Orchitis and epididymitis,Orchitis and epididymitis
757,758,Diseases of male genital organs ,N48.4,N48,ICD10,Sundmacher et al (2015),ERROR,Other disorders of penis
758,759,Asthma ,J45,J45,ICD10,Sundmacher et al (2015),Asthma,Asthma
759,760,Other polyneuropathies ,G62,G62,ICD10,Sundmacher et al (2015),Other and unspecified polyneuropathies,Other and unspecified polyneuropathies
760,761,Avoidable infectious and parasitic diseases ,A15.3,A15,ICD10,Sundmacher et al (2015),ERROR,Respiratory tuberculosis
761,762,Avoidable infectious and parasitic diseases ,A15.4,A15,ICD10,Sundmacher et al (2015),Tuberculosis of intrathoracic lymph nodes,Respiratory tuberculosis
762,763,Avoidable infectious and parasitic diseases ,A15.9,A15,ICD10,Sundmacher et al (2015),Respiratory tuberculosis unspecified,Respiratory tuberculosis
763,764,Avoidable infectious and parasitic diseases ,A16.2,A16,ICD10,Sundmacher et al (2015),ERROR,ERROR
764,765,Avoidable infectious and parasitic diseases ,A16.3,A16,ICD10,Sundmacher et al (2015),ERROR,ERROR
765,766,Avoidable infectious and parasitic diseases ,A16.5,A16,ICD10,Sundmacher et al (2015),ERROR,ERROR
766,767,Avoidable infectious and parasitic diseases ,A16.8,A16,ICD10,Sundmacher et al (2015),ERROR,ERROR
767,768,Avoidable infectious and parasitic diseases ,A16.9,A16,ICD10,Sundmacher et al (2015),ERROR,ERROR
768,769,Avoidable infectious and parasitic diseases ,A34,A34,ICD10,Sundmacher et al (2015),Obstetrical tetanus,Obstetrical tetanus
769,770,Avoidable infectious and parasitic diseases ,A35,A35,ICD10,Sundmacher et al (2015),Other tetanus,Other tetanus
770,771,Avoidable infectious and parasitic diseases ,A36,A36,ICD10,Sundmacher et al (2015),Diphtheria,Diphtheria
771,772,Avoidable infectious and parasitic diseases ,A37,A37,ICD10,Sundmacher et al (2015),Whooping cough,Whooping cough
772,773,Avoidable infectious and parasitic diseases ,A50,A50,ICD10,Sundmacher et al (2015),Congenital syphilis,Congenital syphilis
773,774,Avoidable infectious and parasitic diseases ,A51,A51,ICD10,Sundmacher et al (2015),Early syphilis,Early syphilis
774,775,Avoidable infectious and parasitic diseases ,A52,A52,ICD10,Sundmacher et al (2015),Late syphilis,Late syphilis
775,776,Avoidable infectious and parasitic diseases ,A53,A53,ICD10,Sundmacher et al (2015),Other and unspecified syphilis,Other and unspecified syphilis
776,777,Avoidable infectious and parasitic diseases ,A54,A54,ICD10,Sundmacher et al (2015),Gonococcal infection,Gonococcal infection
777,778,Avoidable infectious and parasitic diseases ,A55,A55,ICD10,Sundmacher et al (2015),Chlamydial lymphogranuloma (venereum),Chlamydial lymphogranuloma (venereum)
778,779,Avoidable infectious and parasitic diseases ,A56,A56,ICD10,Sundmacher et al (2015),Other sexually transmitted chlamydial diseases,Other sexually transmitted chlamydial diseases
779,780,Avoidable infectious and parasitic diseases ,A57,A57,ICD10,Sundmacher et al (2015),Chancroid,Chancroid
780,781,Avoidable infectious and parasitic diseases ,A58,A58,ICD10,Sundmacher et al (2015),Granuloma inguinale,Granuloma inguinale
781,782,Avoidable infectious and parasitic diseases ,A63,A63,ICD10,Sundmacher et al (2015),"Other predominantly sexually transmitted diseases, not elsewhere classified","Other predominantly sexually transmitted diseases, not elsewhere classified"
782,783,Avoidable infectious and parasitic diseases ,A64,A64,ICD10,Sundmacher et al (2015),Unspecified sexually transmitted disease,Unspecified sexually transmitted disease
783,784,Avoidable infectious and parasitic diseases ,A80,A80,ICD10,Sundmacher et al (2015),Acute poliomyelitis,Acute poliomyelitis
784,785,Avoidable infectious and parasitic diseases ,B05,B05,ICD10,Sundmacher et al (2015),Measles,Measles
785,786,Avoidable infectious and parasitic diseases ,B06,B06,ICD10,Sundmacher et al (2015),Rubella [German measles],Rubella [German measles]
786,787,Avoidable infectious and parasitic diseases ,B07,B07,ICD10,Sundmacher et al (2015),Viral warts,Viral warts
787,788,Avoidable infectious and parasitic diseases ,B15,B15,ICD10,Sundmacher et al (2015),Acute hepatitis A,Acute hepatitis A
788,789,Avoidable infectious and parasitic diseases ,B16.1,B16,ICD10,Sundmacher et al (2015),Acute hepatitis B with delta-agent without hepatic coma,Acute hepatitis B
789,790,Avoidable infectious and parasitic diseases ,B16.9,B16,ICD10,Sundmacher et al (2015),Acute hepatitis B without delta-agent and without hepatic coma,Acute hepatitis B
790,791,Avoidable infectious and parasitic diseases ,B17,B17,ICD10,Sundmacher et al (2015),Other acute viral hepatitis,Other acute viral hepatitis
791,792,Avoidable infectious and parasitic diseases ,B18.0,B18,ICD10,Sundmacher et al (2015),Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis
792,793,Avoidable infectious and parasitic diseases ,B18.1,B18,ICD10,Sundmacher et al (2015),Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis
793,794,Avoidable infectious and parasitic diseases ,B20,B20,ICD10,Sundmacher et al (2015),Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease
794,795,Avoidable infectious and parasitic diseases ,B21,B21,ICD10,Sundmacher et al (2015),ERROR,ERROR
795,796,Avoidable infectious and parasitic diseases ,B22,B22,ICD10,Sundmacher et al (2015),ERROR,ERROR
796,797,Avoidable infectious and parasitic diseases ,B23,B23,ICD10,Sundmacher et al (2015),ERROR,ERROR
797,798,Avoidable infectious and parasitic diseases ,B24,B24,ICD10,Sundmacher et al (2015),ERROR,ERROR
798,799,Avoidable infectious and parasitic diseases ,B26,B26,ICD10,Sundmacher et al (2015),Mumps,Mumps
799,800,Avoidable infectious and parasitic diseases ,B34.9,B34,ICD10,Sundmacher et al (2015),"Viral infection, unspecified",Viral infection of unspecified site
800,801,Avoidable infectious and parasitic diseases ,B51,B51,ICD10,Sundmacher et al (2015),Plasmodium vivax malaria,Plasmodium vivax malaria
801,802,Avoidable infectious and parasitic diseases ,B52,B52,ICD10,Sundmacher et al (2015),Plasmodium malariae malaria,Plasmodium malariae malaria
802,803,Avoidable infectious and parasitic diseases ,B53,B53,ICD10,Sundmacher et al (2015),Other specified malaria,Other specified malaria
803,804,Avoidable infectious and parasitic diseases ,B54,B54,ICD10,Sundmacher et al (2015),Unspecified malaria,Unspecified malaria
